fight_id,radiant_won
0,True
1,False
2,False
3,False
4,False
5,False
6,False
7,False
8,False
9,True
10,True
11,True
12,True
13,True
14,False
15,False
16,True
17,False
18,False
19,True
20,False
21,True
22,True
23,False
24,False
25,True
26,False
27,True
28,False
29,True
30,False
31,False
32,True
33,False
34,False
35,False
36,False
37,True
38,False
39,False
40,True
41,True
42,True
43,True
44,True
45,False
46,False
47,False
48,False
49,True
50,False
51,False
52,True
53,True
54,True
55,False
56,False
57,True
58,True
59,True
60,True
61,False
62,False
63,False
64,True
65,True
66,True
67,False
68,True
69,True
70,True
71,False
72,False
73,False
74,False
75,True
76,False
77,True
78,False
79,False
80,False
81,True
82,True
83,True
84,False
85,False
86,False
87,False
88,True
89,True
90,True
91,True
92,True
93,True
94,False
95,False
96,True
97,False
98,False
99,False
100,False
101,False
102,True
103,False
104,False
105,False
106,True
107,True
108,True
109,True
110,True
111,True
112,True
113,True
114,False
115,False
116,False
117,True
118,True
119,True
120,True
121,False
122,True
123,True
124,False
125,True
126,False
127,False
128,False
129,True
130,True
131,False
132,True
133,False
134,True
135,True
136,True
137,True
138,True
139,True
140,True
141,False
142,True
143,False
144,False
145,False
146,False
147,True
148,False
149,True
150,False
151,True
152,False
153,True
154,True
155,True
156,False
157,True
158,True
159,True
160,False
161,True
162,True
163,True
164,False
165,False
166,False
167,False
168,True
169,False
170,True
171,False
172,True
173,False
174,True
175,True
176,True
177,True
178,False
179,False
180,False
181,False
182,True
183,True
184,False
185,True
186,True
187,True
188,False
189,True
190,False
191,False
192,True
193,True
194,False
195,False
196,False
197,True
198,True
199,True
200,True
201,True
202,False
203,True
204,True
205,True
206,True
207,False
208,False
209,True
210,True
211,True
212,True
213,True
214,False
215,True
216,True
217,True
218,False
219,False
220,False
221,False
222,True
223,True
224,False
225,False
226,True
227,False
228,False
229,False
230,False
231,False
232,False
233,True
234,False
235,False
236,False
237,False
238,True
239,True
240,False
241,False
242,False
243,True
244,False
245,True
246,False
247,True
248,True
249,False
250,True
251,False
252,True
253,False
254,True
255,True
256,False
257,False
258,True
259,True
260,True
261,True
262,False
263,True
264,True
265,False
266,True
267,True
268,True
269,True
270,True
271,True
272,True
273,False
274,True
275,True
276,True
277,True
278,True
279,False
280,True
281,True
282,True
283,False
284,False
285,True
286,False
287,True
288,True
289,True
290,True
291,True
292,False
293,False
294,True
295,True
296,True
297,True
298,False
299,False
300,True
301,False
302,True
303,True
304,False
305,False
306,True
307,True
308,True
309,True
310,False
311,True
312,True
313,False
314,True
315,False
316,False
317,False
318,False
319,False
320,True
321,False
322,True
323,True
324,True
325,False
326,True
327,False
328,True
329,True
330,True
331,True
332,True
333,True
334,False
335,False
336,True
337,False
338,True
339,False
340,True
341,False
342,False
343,False
344,True
345,True
346,False
347,False
348,False
349,True
350,True
351,True
352,True
353,True
354,True
355,True
356,False
357,False
358,False
359,True
360,True
361,False
362,False
363,True
364,True
365,False
366,False
367,False
368,True
369,False
370,True
371,False
372,False
373,False
374,True
375,True
376,True
377,False
378,True
379,False
